7 9 2 8 6 1 5 4 3 4 5 3 2 9 7 1 6 8 8 6 1 3 5 4 9 7 2 6 7 5 9 2 3 8 1 4 3 2 9 1 4 8 6 5 7 1 4 8 5 7 6 2 3 9 2 1 4 4 3 9 7 8 6 9 3 7 6 8 5 4 2 1 5 8 6 7 1 2 3 9 5 3 16 
7 9 6 5 8 2 1 4 3 4 2 3 7 1 9 5 6 8 8 5 1 3 6 4 7 9 2 6 2 5 9 4 3 8 1 7 3 8 9 1 2 7 6 5 4 1 4 7 8 5 6 2 3 9 2 5 7 4 3 1 9 8 6 9 3 8 6 7 5 4 2 1 6 1 4 2 9 8 3 7 5 5 17 
7 9 2 2 1 8 5 4 3 4 5 3 7 9 3 1 6 8 8 6 1 5 6 4 7 9 2 6 2 5 3 8 2 1 7 4 3 7 9 1 4 9 6 8 5 1 4 8 5 7 6 2 3 9 2 1 4 9 3 7 8 5 6 9 3 7 6 8 5 4 2 1 5 8 6 4 2 1 9 3 7 10 20 
7 9 2 8 1 2 8 1 3 4 5 3 5 9 7 9 6 4 8 6 1 3 6 4 7 5 2 6 2 5 2 4 3 8 1 7 3 8 9 1 8 9 6 5 4 1 4 7 7 5 6 2 3 9 2 1 4 4 3 1 9 8 6 9 3 8 6 7 5 4 2 1 5 7 6 9 2 8 3 7 5 21 24 
7 9 6 8 5 2 1 4 3 4 2 3 7 1 9 8 6 5 8 5 1 3 6 4 7 9 2 6 7 5 2 9 3 3 1 4 3 2 9 1 4 8 6 5 7 1 4 8 5 7 6 2 8 9 2 1 8 9 3 7 5 7 6 9 3 7 6 8 5 4 2 1 5 6 4 4 2 1 9 3 8 7 18 
7 9 4 5 6 8 1 4 3 5 2 3 7 1 2 8 6 5 8 6 1 3 9 4 9 7 2 6 2 5 2 4 3 6 1 7 3 8 9 1 5 9 5 8 4 1 4 7 7 8 6 2 3 9 2 5 4 8 3 1 9 5 6 9 3 8 6 7 5 4 2 1 1 7 6 4 9 2 3 7 8 21 22 
7 9 2 5 1 2 8 4 3 4 5 3 9 8 7 1 6 5 8 6 1 3 6 4 9 7 2 9 8 5 2 4 3 8 1 4 3 6 2 1 7 9 6 7 5 1 4 7 8 5 6 2 3 9 2 1 8 4 3 7 5 9 6 9 3 7 6 8 5 4 2 1 6 5 4 2 1 9 7 3 8 22 24 
7 9 2 5 6 8 8 1 3 4 5 3 2 1 7 5 6 4 8 6 1 3 9 4 7 9 2 6 8 5 3 4 2 7 1 8 3 2 9 1 8 9 6 4 5 1 4 7 7 5 6 2 3 9 2 1 4 9 3 8 9 5 6 9 3 8 6 7 5 4 2 1 5 7 6 4 2 1 3 8 7 14 21 
7 9 2 5 6 8 1 4 3 4 5 3 2 7 1 9 6 8 8 6 1 3 9 4 5 7 2 6 7 5 8 2 3 6 1 4 3 2 9 1 4 9 7 8 5 1 4 8 7 5 6 2 3 9 2 1 4 9 3 7 8 5 6 9 3 7 6 8 5 4 2 1 5 8 6 4 1 2 3 9 7 3 15 
7 9 2 8 6 2 1 4 3 4 5 3 7 1 9 5 6 8 8 6 1 3 5 4 7 9 2 6 2 5 9 4 3 8 1 7 3 7 9 1 2 8 6 5 4 1 4 8 5 7 6 2 3 9 2 1 4 4 3 7 9 8 6 9 3 7 6 8 5 4 2 1 5 8 6 2 9 1 3 7 5 5 17 
7 9 6 5 2 1 8 4 3 4 2 3 7 8 9 1 6 5 8 5 1 3 6 4 9 7 2 9 8 5 2 4 3 6 1 7 3 6 2 1 9 7 5 8 4 1 4 7 8 5 6 2 3 9 2 1 4 9 3 8 7 5 6 9 3 8 6 7 5 4 2 1 5 7 6 4 1 2 3 9 8 3 14 
7 9 2 5 6 1 8 4 3 4 5 3 8 9 2 1 6 7 8 6 1 3 7 4 9 5 2 6 7 5 9 2 3 6 1 4 3 2 9 1 4 8 7 8 5 1 4 8 7 5 6 2 3 9 2 1 8 4 3 7 5 9 6 9 3 7 6 8 5 4 2 1 5 6 4 2 1 9 3 7 8 5 16 
7 9 6 5 2 8 1 4 3 4 2 3 9 7 1 5 6 8 8 5 1 3 6 4 7 9 2 6 2 5 7 9 3 8 1 4 3 8 9 1 4 2 6 7 5 1 4 7 8 5 6 2 3 9 2 1 4 4 3 7 9 8 6 9 3 7 6 8 5 4 2 1 5 6 8 2 1 9 3 5 7 5 15 
7 9 2 8 6 1 5 4 3 4 5 3 2 9 7 1 6 8 8 6 1 3 5 4 7 9 2 6 7 5 9 2 3 1 8 4 3 2 9 1 4 8 6 7 5 1 4 8 5 7 6 2 3 9 2 1 4 7 3 9 8 5 6 9 3 7 6 8 5 4 2 1 5 8 6 4 1 2 9 3 7 3 13 
7 9 6 8 5 2 1 4 3 4 2 3 7 1 9 8 6 5 8 5 1 3 6 4 9 7 2 6 2 5 4 9 3 7 1 8 3 8 9 1 2 7 6 5 4 1 4 7 5 8 6 2 3 9 2 7 4 9 3 1 5 8 6 9 3 8 6 7 5 4 2 1 5 1 6 2 4 8 3 9 7 3 11 
7 9 2 5 6 1 8 4 3 4 5 3 2 8 9 1 6 5 8 6 1 3 7 4 9 7 2 6 7 5 9 2 3 8 1 4 3 2 9 1 4 8 6 5 7 1 4 8 7 5 6 2 3 9 2 1 4 8 3 7 5 9 6 9 3 7 6 9 5 4 2 1 5 8 6 4 1 2 3 8 7 7 16 
7 9 2 2 6 8 1 4 3 4 5 3 9 1 7 5 6 8 8 6 1 3 5 4 9 7 2 6 7 5 8 9 3 6 1 4 3 2 9 1 4 2 7 8 5 1 4 8 5 7 6 2 3 9 2 1 4 7 3 9 8 5 6 9 3 7 6 8 5 4 2 1 5 8 6 4 2 1 3 9 7 5 15 

